,ICC1,ICC2,ICC3,ICC1k,ICC2k,ICC3k
glrlm_GrayLevelVariance_log-sigma-2-0-mm-3D,0.9973941282024338,0.9973941072563702,0.997378073355919,0.9986953642444562,0.9986953537440795,0.9986873157971161
glrlm_HighGrayLevelRunEmphasis_log-sigma-2-0-mm-3D,0.9947880916010226,0.9947880276569,0.9947636184455791,0.9973872370599554,0.997387204920604,0.9973749363052343
glrlm_LongRunEmphasis_log-sigma-2-0-mm-3D,0.9681911596903336,0.9681955517866884,0.9684629983684149,0.9838385412143245,0.9838408088137176,0.9839788699824559
glrlm_LongRunHighGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9655672496434278,0.9655633015805215,0.965341929159049,0.9824820288581738,0.9824799850547739,0.9823653735124958
glrlm_LongRunLowGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9351239503732637,0.9351451131668954,0.9357556066512352,0.966474473320315,0.9664857759804026,0.9668117229633629
glrlm_LowGrayLevelRunEmphasis_log-sigma-2-0-mm-3D,0.9135823956006278,0.9136100615356516,0.9141954068689586,0.9548398832482738,0.9548549936056349,0.9551745904189627
glrlm_RunEntropy_log-sigma-2-0-mm-3D,0.970997387799733,0.9709949589938108,0.9708323554767297,0.9852853117006699,0.9852840612941008,0.9852003421588769
glrlm_RunLengthNonUniformity_log-sigma-2-0-mm-3D,0.9994392682975801,0.9994392699618942,0.9994452028898647,0.9997195555217352,0.999719556354359,0.9997225244736223
glrlm_RunLengthNonUniformityNormalized_log-sigma-2-0-mm-3D,0.9837812204078074,0.983781451113395,0.9838094396970926,0.9918243103496773,0.991824427596345,0.9918386514455846
glrlm_RunPercentage_log-sigma-2-0-mm-3D,0.980793503489993,0.9807939857797007,0.9808432452166794,0.9903036351461337,0.9903038809900571,0.990328990025041
glrlm_RunVariance_log-sigma-2-0-mm-3D,0.9771316999016356,0.9771338628012447,0.9773187337621733,0.9884335979745295,0.9884347045847679,0.988529281672929
glrlm_ShortRunEmphasis_log-sigma-2-0-mm-3D,0.9678631886800315,0.9678655999117406,0.9680108600283732,0.9836691841664437,0.9836704294796855,0.9837454454030983
glrlm_ShortRunHighGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9955167054891424,0.995516648052419,0.9954911410289929,0.9977533164726082,0.9977532876250587,0.9977404765782714
glrlm_ShortRunLowGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9082139645621414,0.908234542876761,0.9086419756711404,0.9518995054315517,0.95191080809967,0.952134540949339
glszm_GrayLevelNonUniformity_log-sigma-2-0-mm-3D,0.9983246248608278,0.9983246413381088,0.998344278730071,0.9991616101216344,0.9991616183740949,0.9991714534439575
glszm_GrayLevelNonUniformityNormalized_log-sigma-2-0-mm-3D,0.9540052224966782,0.954022936807826,0.9547583632033734,0.9764612822044799,0.9764705611556003,0.9768556371732379
glszm_GrayLevelVariance_log-sigma-2-0-mm-3D,0.9940802942721035,0.9940802166075327,0.9940541332880074,0.9970313603996286,0.9970313213364412,0.9970182019571412
glszm_HighGrayLevelZoneEmphasis_log-sigma-2-0-mm-3D,0.9948323873102306,0.9948323227445051,0.9948074638900947,0.9974095003055684,0.9974094678552304,0.9973969737912554
glszm_LargeAreaEmphasis_log-sigma-2-0-mm-3D,0.9485861225109197,0.9485926875259916,0.9488350001614589,0.9736147779689465,0.9736182359694283,0.9737458533768626
glszm_LargeAreaHighGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9662960365345431,0.9662926998387124,0.9661014115615678,0.9828591611643293,0.9828574351295447,0.9827584740852668
glszm_LargeAreaLowGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9532502172150266,0.9532581594816576,0.9535821654282652,0.976065645674608,0.9760698091588946,0.9762396302581116
glszm_LowGrayLevelZoneEmphasis_log-sigma-2-0-mm-3D,0.8193305691106425,0.819302385420261,0.8190468495202333,0.900694555482748,0.9006775256121056,0.9005230950882368
glszm_SizeZoneNonUniformity_log-sigma-2-0-mm-3D,0.9992030591662718,0.9992030687427943,0.9992270833750617,0.999601370741169,0.9996013755332485,0.9996133922797638
glszm_SizeZoneNonUniformityNormalized_log-sigma-2-0-mm-3D,0.9597736688340986,0.9597687382468935,0.9595335160160786,0.9794739914074707,0.9794714238634629,0.9793489197029945
glszm_SmallAreaEmphasis_log-sigma-2-0-mm-3D,0.9231641092553594,0.92317860220804,0.9235269975463366,0.9600471481477516,0.9600549851668692,0.9602433433212985
glszm_SmallAreaHighGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.9952226584701744,0.995222583251547,0.9951912449354479,0.997605609825277,0.9976055720356435,0.9975898275031235
glszm_SmallAreaLowGrayLevelEmphasis_log-sigma-2-0-mm-3D,0.8605614857856868,0.8605230291688107,0.8600486328235297,0.9250556806213633,0.9250334617500001,0.9247592967695549
glszm_ZoneEntropy_log-sigma-2-0-mm-3D,0.9337681740689572,0.933783446639714,0.9342142924961788,0.965749862460669,0.9657580307270968,0.965988407924066
glszm_ZonePercentage_log-sigma-2-0-mm-3D,0.9951881176825135,0.9951880585613584,0.995163604421329,0.9975882563278916,0.9975882266245562,0.9975759403549898
glszm_ZoneVariance_log-sigma-2-0-mm-3D,0.9538832201926353,0.9538882996975901,0.9540984769025582,0.9763973714852733,0.976400032535357,0.9765101280002019
ngtdm_Busyness_log-sigma-2-0-mm-3D,0.8989488372457178,0.8990257861257103,0.9003970626876776,0.946785737049741,0.9468284134886383,0.9475883544192303
ngtdm_Coarseness_log-sigma-2-0-mm-3D,0.7308241200650678,0.7305921889175513,0.72933534833952,0.8444810903578043,0.8443262295948778,0.8434863128655944
ngtdm_Complexity_log-sigma-2-0-mm-3D,0.9977676714136801,0.9977676803153388,0.9977756377981903,0.9988825884920141,0.9988825929527958,0.9988865805750533
ngtdm_Contrast_log-sigma-2-0-mm-3D,0.9929798738351447,0.9929801126278378,0.993047670538313,0.9964775729765166,0.9964776932154602,0.9965117093963893
ngtdm_Strength_log-sigma-2-0-mm-3D,0.9911159580721833,0.9911165399649005,0.9912463905577877,0.9955381594468168,0.9955384529951944,0.9956039546468379
firstorder_10Percentile_log-sigma-3-0-mm-3D,0.994910896978323,0.9949109278834679,0.9949230118359749,0.9974489572294255,0.9974489727609386,0.9974550455662182
firstorder_90Percentile_log-sigma-3-0-mm-3D,0.9934444139273022,0.9934443700962436,0.9934310858113976,0.9967114277042807,0.9967114056443721,0.9967047196989363
